epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1543,3.6385,39.424,1.62679,0.01491,0.25465,0.02323,0.00352,3.05801,193.268,1.28161,0.000539324,0.000539324,0.000539324
2,37.1265,3.03,3.72237,1.31431,0.28776,0.16422,0.12588,0.02794,3.10784,2.46336,1.38744,0.00106789,0.00106789,0.00106789
3,53.2403,2.87984,2.29942,1.25584,0.00185,0.04239,0.00381,0.00124,nan,nan,nan,0.00156895,0.00156895,0.00156895
4,70.1729,2.93242,2.06138,1.28191,0.20115,0.09563,0.06247,0.0167,3.43309,3.87172,2.54949,0.00154323,0.00154323,0.00154323
5,86.0061,2.96176,1.9165,1.26426,0.14358,0.11702,0.09163,0.02195,2.99458,2.47634,1.47345,0.00150197,0.00150197,0.00150197
6,102.359,2.89845,1.82059,1.26984,0.19019,0.31316,0.13777,0.03866,2.85747,3.33096,1.29225,0.00146071,0.00146071,0.00146071
7,118.334,2.76936,1.78661,1.25964,0.32193,0.32335,0.24098,0.06782,2.8163,1.80211,1.27763,0.00141945,0.00141945,0.00141945
8,135.677,2.57085,1.64673,1.2093,0.49705,0.34994,0.29772,0.08281,2.67881,1.54454,1.2432,0.00137819,0.00137819,0.00137819
9,151.636,2.5659,1.53807,1.20416,0.5643,0.34328,0.32538,0.08654,2.65465,1.52342,1.24119,0.00133693,0.00133693,0.00133693
10,167.536,2.67121,1.63728,1.23333,0.37799,0.36081,0.24835,0.06696,2.62121,1.76512,1.26053,0.00129568,0.00129568,0.00129568
11,183.411,2.61944,1.53853,1.17525,0.45505,0.38684,0.32013,0.08544,2.69476,1.50252,1.25811,0.00125442,0.00125442,0.00125442
12,200.409,2.56015,1.54361,1.16821,0.55163,0.4449,0.36562,0.0953,2.6442,1.42791,1.21401,0.00121316,0.00121316,0.00121316
13,216.391,2.58898,1.39346,1.12827,0.51864,0.42396,0.34366,0.10444,2.4844,1.33214,1.19754,0.0011719,0.0011719,0.0011719
14,232.146,2.54513,1.4019,1.16692,0.5619,0.42712,0.36434,0.10125,2.66318,1.39651,1.21918,0.00113064,0.00113064,0.00113064
15,247.876,2.55936,1.45352,1.16484,0.56702,0.43336,0.38704,0.11677,2.39687,1.27835,1.14157,0.00108938,0.00108938,0.00108938
16,264.368,2.52076,1.41814,1.1422,0.58015,0.46103,0.41003,0.11819,2.43498,1.336,1.15092,0.00104813,0.00104813,0.00104813
17,280.66,2.44747,1.30966,1.12067,0.54848,0.46345,0.40402,0.12456,2.55815,1.31676,1.1878,0.00100687,0.00100687,0.00100687
18,296.611,2.49917,1.44375,1.19518,0.60746,0.43629,0.39226,0.12078,2.53525,1.34311,1.18333,0.00096561,0.00096561,0.00096561
19,312.475,2.48023,1.46,1.14201,0.59185,0.50857,0.42912,0.13355,2.52773,1.26578,1.18794,0.000924352,0.000924352,0.000924352
20,328.65,2.41121,1.30997,1.10695,0.54228,0.44751,0.4008,0.11598,2.59602,1.31012,1.19382,0.000883093,0.000883093,0.000883093
21,345.414,2.38455,1.31236,1.10555,0.64901,0.44524,0.44768,0.14484,2.36437,1.21958,1.12236,0.000841835,0.000841835,0.000841835
22,361.356,2.40322,1.29528,1.09752,0.65548,0.49267,0.47073,0.1577,2.32128,1.17337,1.12901,0.000800577,0.000800577,0.000800577
23,377.359,2.22037,1.24258,1.05023,0.67664,0.43975,0.46838,0.14457,2.39764,1.24357,1.15366,0.000759318,0.000759318,0.000759318
24,393.859,2.37911,1.28622,1.09366,0.67207,0.47676,0.46882,0.14482,2.39546,1.27779,1.1654,0.00071806,0.00071806,0.00071806
25,410.608,2.21238,1.21586,1.04681,0.67197,0.48197,0.47341,0.14208,2.42457,1.22921,1.15278,0.000676802,0.000676802,0.000676802
26,426.932,2.34051,1.1945,1.04394,0.65351,0.45417,0.47112,0.14868,2.44073,1.21064,1.17102,0.000635544,0.000635544,0.000635544
27,442.783,2.26922,1.20225,1.08321,0.72286,0.46092,0.50793,0.15945,2.38483,1.14879,1.15916,0.000594286,0.000594286,0.000594286
28,459.646,2.21107,1.16544,1.05975,0.67824,0.47676,0.49307,0.1667,2.33571,1.12746,1.15671,0.000553027,0.000553027,0.000553027
29,476.397,2.28392,1.21293,1.10672,0.64218,0.42928,0.44944,0.14828,2.39416,1.14014,1.15673,0.000511769,0.000511769,0.000511769
30,492.467,2.26322,1.23121,1.05102,0.56482,0.44384,0.44735,0.1547,2.37604,1.20827,1.15368,0.000470511,0.000470511,0.000470511
31,510.36,2.16967,1.16741,1.08374,0.57282,0.43998,0.43881,0.1432,2.44781,1.19159,1.18672,0.000429253,0.000429253,0.000429253
32,527.183,2.11225,1.11936,1.07056,0.62124,0.45587,0.44738,0.13638,2.43148,1.18495,1.17152,0.000387994,0.000387994,0.000387994
33,542.832,2.1891,1.1834,1.08449,0.60272,0.46831,0.45863,0.15704,2.3722,1.13784,1.1681,0.000346736,0.000346736,0.000346736
34,558.196,2.06972,1.13337,1.08108,0.636,0.44518,0.46231,0.16019,2.33634,1.13492,1.1462,0.000305478,0.000305478,0.000305478
35,573.77,2.10282,1.10214,1.0643,0.69322,0.42917,0.47927,0.15702,2.29342,1.11475,1.15546,0.00026422,0.00026422,0.00026422
36,590.093,2.0224,1.08604,1.05514,0.64577,0.45039,0.4764,0.1612,2.37219,1.12794,1.15985,0.000222961,0.000222961,0.000222961
37,606.227,2.04832,1.05828,1.0503,0.56907,0.49776,0.47882,0.15777,2.35165,1.11867,1.14532,0.000181703,0.000181703,0.000181703
38,621.982,1.95682,1.01114,1.01702,0.61789,0.43981,0.47345,0.15928,2.42713,1.1148,1.18031,0.000140445,0.000140445,0.000140445
39,637.486,1.98392,1.07892,1.02528,0.58093,0.45877,0.46854,0.16616,2.4043,1.10195,1.18233,9.91865e-05,9.91865e-05,9.91865e-05
40,653.438,1.98999,1.02288,1.05452,0.56537,0.49272,0.47233,0.16799,2.34618,1.0886,1.16423,5.79283e-05,5.79283e-05,5.79283e-05
